SalePrice,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0
755000,2444,1872,0,4,1Fam,TA,Gd,1455,0,GLQ,Unf,0,1,Ex,989,Y,Norm,Norm,SBrkr,0,TA,Ex,HdBoard,HdBoard,,Ex,2,PConc,3,Typ,832,3,TA,Fin,TA,Attchd,1994,4316,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,21535,Corner,104,IR1,0,60,RL,1170,BrkFace,,0,1,NoRidge,50,6,10,Y,0,WdShngl,Gable,Normal,WD,0,Pave,10,2444,AllPub,382,1994,1995,2007
745000,2411,2065,0,4,1Fam,TA,Av,2096,0,GLQ,Unf,1,0,Ex,300,Y,Norm,Norm,SBrkr,0,TA,Gd,Wd Sdng,ImStucc,MnPrv,TA,2,PConc,3,Typ,813,3,TA,Fin,TA,Attchd,1996,4476,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,15623,Corner,160,IR1,0,60,RL,0,None,,0,7,NoRidge,78,5,10,Y,555,CompShg,Hip,Abnorml,WD,0,Pave,10,2396,AllPub,171,1996,1996,2007
625000,1831,1796,0,4,1Fam,TA,Gd,1387,0,GLQ,Unf,1,0,Ex,543,Y,Norm,Norm,SBrkr,0,Gd,Gd,HdBoard,HdBoard,,TA,1,PConc,3,Typ,807,3,TA,Fin,TA,Attchd,1995,3627,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,35760,CulDSac,118,IR1,0,60,RL,1378,BrkFace,,0,7,NoRidge,76,5,10,Y,0,CompShg,Hip,Normal,WD,0,Pave,10,1930,AllPub,361,1995,1996,2006
611657,2364,0,0,2,1Fam,TA,Gd,2188,0,GLQ,Unf,1,0,Ex,142,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,820,3,TA,Fin,TA,Attchd,2009,2364,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,12919,Inside,100,IR1,0,20,RL,760,Stone,,0,3,NridgHt,67,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,2330,AllPub,0,2009,2010,2010
582933,1734,1088,0,4,1Fam,TA,Gd,0,0,Unf,Unf,0,0,Ex,1734,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,3,Typ,1020,3,TA,RFn,TA,BuiltIn,2009,2822,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13891,Inside,107,Reg,0,60,RL,424,Stone,,0,1,NridgHt,170,5,9,Y,0,CompShg,Hip,Partial,New,192,Pave,12,1734,AllPub,52,2008,2009,2009
556581,1992,876,0,4,1Fam,TA,Av,240,0,GLQ,Unf,0,0,Ex,1752,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,,Gd,1,PConc,3,Typ,716,3,TA,Fin,TA,BuiltIn,2005,2868,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,16056,Inside,85,IR1,0,60,RL,208,Stone,,0,7,StoneBr,108,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1992,AllPub,214,2005,2006,2006
555000,2402,0,0,2,1Fam,TA,Gd,1767,539,GLQ,ALQ,1,0,Ex,788,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,672,3,TA,Fin,TA,Attchd,2008,2402,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,15431,Inside,105,Reg,0,20,RL,200,Stone,,0,4,NridgHt,72,5,10,Y,0,CompShg,Hip,Normal,WD,170,Pave,10,3094,AllPub,0,2008,2008,2009
538000,1690,1589,0,4,1Fam,TA,Gd,1416,0,ALQ,Unf,1,0,Gd,234,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,Wd Shng,,Gd,1,PConc,3,Mod,841,3,TA,Fin,TA,BuiltIn,2003,3279,1,GasA,Ex,2Story,1,Ex,HLS,Mod,53504,CulDSac,47,IR2,0,60,RL,603,BrkFace,,0,6,StoneBr,36,5,8,Y,0,CompShg,Hip,Normal,WD,210,Pave,12,1650,AllPub,503,2003,2003,2010
501837,2234,0,0,1,1Fam,TA,No,1904,0,GLQ,Unf,1,0,Ex,312,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,1166,3,TA,Fin,TA,Attchd,2009,2234,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,17423,CulDSac,63,IR1,0,20,RL,748,Stone,,0,7,StoneBr,60,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,9,2216,AllPub,0,2008,2009,2009
485000,1966,1174,0,4,1Fam,TA,No,0,0,Unf,Unf,0,0,Ex,1926,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,3,Typ,820,3,TA,Fin,TA,BuiltIn,2009,3140,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13518,Inside,104,Reg,0,60,RL,860,Stone,,0,7,NridgHt,78,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1926,AllPub,144,2008,2009,2009
475000,1518,1518,0,4,1Fam,TA,Mn,0,0,Unf,Unf,0,0,TA,1107,Y,Artery,Norm,SBrkr,0,Gd,Gd,Wd Sdng,Wd Sdng,GdPrv,TA,2,BrkTil,2,Typ,840,3,TA,Unf,Ex,Detchd,1993,3608,1,GasA,Ex,2.5Fin,1,Ex,Lvl,Gtl,22950,Inside,90,IR2,572,75,RM,0,None,,0,6,OldTown,260,9,10,Y,0,WdShngl,Gable,Normal,WD,410,Pave,12,1107,AllPub,0,1892,1993,2006
466500,2633,0,0,2,1Fam,TA,Gd,1282,0,GLQ,Unf,1,0,Ex,1351,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,804,3,TA,RFn,TA,Attchd,2001,2633,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,11400,Inside,,Reg,0,20,RL,705,BrkFace,,0,3,NoRidge,140,5,10,Y,0,CompShg,Hip,Normal,WD,0,Pave,8,2633,AllPub,314,2001,2002,2007
465000,2076,0,0,2,1Fam,Gd,Gd,1386,0,GLQ,Unf,1,0,Ex,690,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,850,3,TA,Fin,TA,Attchd,2006,2076,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,13891,Inside,107,Reg,0,20,RL,,None,,0,9,NridgHt,229,5,10,Y,0,CompShg,Gable,Partial,New,0,Pave,7,2076,AllPub,216,2006,2006,2006
451950,1728,568,0,3,1Fam,TA,Gd,1338,0,GLQ,Unf,1,0,Ex,384,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Gd,1,PConc,2,Typ,842,3,TA,RFn,TA,BuiltIn,2008,2296,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13478,Corner,97,IR1,0,60,RL,420,Stone,,0,6,NridgHt,274,5,10,Y,0,CompShg,Gable,Normal,ConLI,0,Pave,10,1722,AllPub,382,2008,2008,2009
446261,1476,1237,0,3,1Fam,TA,Av,1330,0,GLQ,Unf,1,0,Ex,122,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,858,3,TA,Fin,TA,Attchd,2008,2713,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,14948,Inside,67,IR1,0,60,RL,268,Stone,,0,11,NridgHt,66,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1452,AllPub,126,2008,2008,2008
440000,1976,0,0,2,1Fam,TA,Gd,1350,0,GLQ,Unf,1,0,Ex,626,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,2,Typ,908,3,TA,RFn,TA,Attchd,2006,1976,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14977,Inside,110,IR1,0,20,RL,304,BrkFace,,0,7,NridgHt,63,5,8,Y,0,CompShg,Gable,Partial,New,0,Pave,7,1976,AllPub,250,2006,2007,2007
438780,1426,1519,0,3,1Fam,TA,Gd,0,0,Unf,Unf,0,0,Ex,1410,Y,Norm,Norm,SBrkr,37,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,3,Typ,641,3,TA,Fin,TA,BuiltIn,2006,2945,1,GasA,Ex,2Story,1,Gd,HLS,Gtl,13682,CulDSac,66,IR2,0,60,RL,1031,BrkFace,,0,10,StoneBr,0,5,10,Y,0,CompShg,Hip,Partial,New,0,Pave,10,1410,AllPub,192,2006,2006,2006
437154,1848,880,0,4,1Fam,TA,No,1410,0,GLQ,Unf,1,0,Ex,438,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,,Ex,2,PConc,2,Typ,706,3,TA,Fin,TA,Attchd,2006,2728,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,20431,Inside,56,IR2,0,60,RL,870,BrkFace,,0,4,NridgHt,0,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,10,1848,AllPub,0,2005,2006,2006
430000,3228,0,0,4,1Fam,TA,No,1231,0,GLQ,Unf,1,0,Gd,1969,Y,Norm,Norm,SBrkr,291,TA,Gd,BrkFace,BrkFace,,Gd,1,PConc,3,Typ,546,2,TA,RFn,TA,Attchd,1992,3228,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,12692,Inside,,IR1,0,20,RL,0,None,,0,5,NoRidge,75,5,8,Y,0,CompShg,Hip,Normal,WD,0,Pave,10,3200,AllPub,264,1992,1993,2007
426000,1742,590,0,3,1Fam,TA,Av,1280,0,GLQ,Unf,1,0,Ex,402,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Ex,1,PConc,2,Typ,846,3,TA,Fin,TA,BuiltIn,2008,2332,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,12474,Inside,96,Reg,0,60,RL,272,Stone,,0,8,NridgHt,134,5,10,Y,0,CompShg,Gable,Partial,New,0,Pave,9,1682,AllPub,196,2007,2008,2008
