,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,351298.48060245794,755000.0,2444,1872,0,4,1Fam,TA,Gd,1455.0,0.0,GLQ,Unf,0.0,1.0,Ex,989.0,Y,Norm,Norm,SBrkr,0,TA,Ex,HdBoard,HdBoard,NA,Ex,2,PConc,3,Typ,832.0,3.0,TA,Fin,TA,Attchd,1994.0,4316,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,21535,Corner,104.0,IR1,0,60,RL,1170.0,BrkFace,NA,0,1,NoRidge,50,6,10,Y,0,WdShngl,Gable,Normal,WD,0,Pave,10,2444.0,AllPub,382,1994,1995,2007
1,320054.25546276156,745000.0,2411,2065,0,4,1Fam,TA,Av,2096.0,0.0,GLQ,Unf,1.0,0.0,Ex,300.0,Y,Norm,Norm,SBrkr,0,TA,Gd,Wd Sdng,ImStucc,MnPrv,TA,2,PConc,3,Typ,813.0,3.0,TA,Fin,TA,Attchd,1996.0,4476,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,15623,Corner,160.0,IR1,0,60,RL,0.0,None,NA,0,7,NoRidge,78,5,10,Y,555,CompShg,Hip,Abnorml,WD,0,Pave,10,2396.0,AllPub,171,1996,1996,2007
2,382426.6740420979,625000.0,1831,1796,0,4,1Fam,TA,Gd,1387.0,0.0,GLQ,Unf,1.0,0.0,Ex,543.0,Y,Norm,Norm,SBrkr,0,Gd,Gd,HdBoard,HdBoard,NA,TA,1,PConc,3,Typ,807.0,3.0,TA,Fin,TA,Attchd,1995.0,3627,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,35760,CulDSac,118.0,IR1,0,60,RL,1378.0,BrkFace,NA,0,7,NoRidge,76,5,10,Y,0,CompShg,Hip,Normal,WD,0,Pave,10,1930.0,AllPub,361,1995,1996,2006
3,259223.1127340379,611657.0,2364,0,0,2,1Fam,TA,Gd,2188.0,0.0,GLQ,Unf,1.0,0.0,Ex,142.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,820.0,3.0,TA,Fin,TA,Attchd,2009.0,2364,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,12919,Inside,100.0,IR1,0,20,RL,760.0,Stone,NA,0,3,NridgHt,67,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,2330.0,AllPub,0,2009,2010,2010
4,259021.70654707865,582933.0,1734,1088,0,4,1Fam,TA,Gd,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1734.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,3,Typ,1020.0,3.0,TA,RFn,TA,BuiltIn,2009.0,2822,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13891,Inside,107.0,Reg,0,60,RL,424.0,Stone,NA,0,1,NridgHt,170,5,9,Y,0,CompShg,Hip,Partial,New,192,Pave,12,1734.0,AllPub,52,2008,2009,2009
5,266066.68950696295,556581.0,1992,876,0,4,1Fam,TA,Av,240.0,0.0,GLQ,Unf,0.0,0.0,Ex,1752.0,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NA,Gd,1,PConc,3,Typ,716.0,3.0,TA,Fin,TA,BuiltIn,2005.0,2868,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,16056,Inside,85.0,IR1,0,60,RL,208.0,Stone,NA,0,7,StoneBr,108,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1992.0,AllPub,214,2005,2006,2006
6,274598.1502927507,555000.0,2402,0,0,2,1Fam,TA,Gd,1767.0,539.0,GLQ,ALQ,1.0,0.0,Ex,788.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,672.0,3.0,TA,Fin,TA,Attchd,2008.0,2402,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,15431,Inside,105.0,Reg,0,20,RL,200.0,Stone,NA,0,4,NridgHt,72,5,10,Y,0,CompShg,Hip,Normal,WD,170,Pave,10,3094.0,AllPub,0,2008,2008,2009
7,429781.85939349624,538000.0,1690,1589,0,4,1Fam,TA,Gd,1416.0,0.0,ALQ,Unf,1.0,0.0,Gd,234.0,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,Wd Shng,NA,Gd,1,PConc,3,Mod,841.0,3.0,TA,Fin,TA,BuiltIn,2003.0,3279,1,GasA,Ex,2Story,1,Ex,HLS,Mod,53504,CulDSac,47.0,IR2,0,60,RL,603.0,BrkFace,NA,0,6,StoneBr,36,5,8,Y,0,CompShg,Hip,Normal,WD,210,Pave,12,1650.0,AllPub,503,2003,2003,2010
8,274261.65914030693,501837.0,2234,0,0,1,1Fam,TA,No,1904.0,0.0,GLQ,Unf,1.0,0.0,Ex,312.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,1166.0,3.0,TA,Fin,TA,Attchd,2009.0,2234,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,17423,CulDSac,63.0,IR1,0,20,RL,748.0,Stone,NA,0,7,StoneBr,60,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,9,2216.0,AllPub,0,2008,2009,2009
9,270597.43336853205,485000.0,1966,1174,0,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1926.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,3,Typ,820.0,3.0,TA,Fin,TA,BuiltIn,2009.0,3140,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,13518,Inside,104.0,Reg,0,60,RL,860.0,Stone,NA,0,7,NridgHt,78,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,1926.0,AllPub,144,2008,2009,2009
